  3.6989700e+000	  0.0000000e+000	  0.0000000e+000	  0.0000000e+000	  0.0000000e+000	
  3.6989700e+000	  4.6013400e-004	  8.3454922e-002	  8.3454922e-002	  2.8559025e-003	
  3.6989700e+000	  1.3867550e-003	  2.5151678e-001	  2.5136157e-001	  8.6018189e-003	
  3.6989700e+000	  2.3261660e-003	  4.2189857e-001	  4.2142316e-001	  1.4421479e-002	
  3.6989700e+000	  3.2785460e-003	  5.9463231e-001	  5.9365788e-001	  2.0315506e-002	
  3.6989700e+000	  4.2440710e-003	  7.6975048e-001	  7.6807965e-001	  2.6284376e-002	
  3.6989700e+000	  5.2229250e-003	  9.4728598e-001	  9.4469745e-001	  3.2328396e-002	
  3.6989700e+000	  6.2152920e-003	  1.1272722e+000	  1.1235146e+000	  3.8447679e-002	
  3.6989700e+000	  7.2213560e-003	  1.3097429e+000	  1.3045279e+000	  4.4642118e-002	
  3.6989700e+000	  8.2413090e-003	  1.4947325e+000	  1.4877272e+000	  5.0911364e-002	
  3.6989700e+000	  9.2753410e-003	  1.6822757e+000	  1.6730944e+000	  5.7254794e-002	
  3.6989700e+000	  1.0323647e-002	  1.8724077e+000	  1.8606027e+000	  6.3671498e-002	
  3.6989700e+000	  1.1386423e-002	  2.0651643e+000	  2.0502163e+000	  7.0160245e-002	
  3.6989700e+000	  1.2463871e-002	  2.2605818e+000	  2.2418895e+000	  7.6719473e-002	
  3.6989700e+000	  1.3556191e-002	  2.4586968e+000	  2.4355662e+000	  8.3347264e-002	
  3.6989700e+000	  1.4663590e-002	  2.6595465e+000	  2.6311798e+000	  9.0041338e-002	
  3.6989700e+000	  1.5786275e-002	  2.8631688e+000	  2.8286526e+000	  9.6799037e-002	
  3.6989700e+000	  1.6924458e-002	  3.0696020e+000	  3.0278960e+000	  1.0361732e-001	
  3.6989700e+000	  1.8078353e-002	  3.2788847e+000	  3.2288098e+000	  1.1049277e-001	
  3.6989700e+000	  1.9248176e-002	  3.4910563e+000	  3.4312832e+000	  1.1742160e-001	
  3.6989700e+000	  2.0434147e-002	  3.7061568e+000	  3.6351944e+000	  1.2439962e-001	
  3.6989700e+000	  2.1636489e-002	  3.9242266e+000	  3.8404112e+000	  1.3142233e-001	
  3.6989700e+000	  2.2855429e-002	  4.1453066e+000	  4.0467917e+000	  1.3848485e-001	
  3.6989700e+000	  2.4091194e-002	  4.3694384e+000	  4.2541846e+000	  1.4558202e-001	
  3.6989700e+000	  2.5344019e-002	  4.5966641e+000	  4.4624303e+000	  1.5270838e-001	
  3.6989700e+000	  2.6614137e-002	  4.8270264e+000	  4.6713616e+000	  1.5985819e-001	
  3.6989700e+000	  2.7901788e-002	  5.0605687e+000	  4.8808047e+000	  1.6702552e-001	
  3.6989700e+000	  2.9207214e-002	  5.2973348e+000	  5.0905804e+000	  1.7420424e-001	
  3.6989700e+000	  3.0530660e-002	  5.5373692e+000	  5.3005050e+000	  1.8138805e-001	
  3.6989700e+000	  3.1872375e-002	  5.7807170e+000	  5.5103916e+000	  1.8857055e-001	
  3.6989700e+000	  3.3232611e-002	  6.0274241e+000	  5.7200511e+000	  1.9574529e-001	
  3.6989700e+000	  3.4611624e-002	  6.2775367e+000	  5.9292935e+000	  2.0290576e-001	
